candidato,volatilidad_promedio,volatilidad_max,dias_alta_volatilidad
Jara,296.5505389297438,1161.02737755342,17
Kaiser,126.12871028947055,595.0212481200026,17
Kast,415.02893345372973,2206.425993924715,17
Matthei,91.2380195985511,447.3519973396895,17
Mayne,27.527895386872622,166.58202612698474,17
Parisi,110.23636968553335,1099.678654360965,17
