mes,total_comentarios,total_menciones,dias,comentarios_por_dia,menciones_por_dia
2025-08-01,11822,13652,27,437.85185185185185,505.6296296296296
2025-09-01,16808,20038,30,560.2666666666667,667.9333333333333
2025-10-01,27521,34055,31,887.7741935483871,1098.5483870967741
2025-11-01,73254,86910,30,2441.8,2897
2025-12-01,45416,51775,28,1622,1849.107142857143
