candidato,periodo_2d,mean,std,n,se,ci95,media_movil_2
jara,2025-08-06,0.40442307692307694,0.15116810694952973,39,0.024206269880038156,0.047444288964874785,0.40442307692307694
jara,2025-08-08,0.2571428571428571,0.09322272357358043,7,0.03523487758797319,0.06906036007242745,0.33078296703296706
jara,2025-08-10,0.395,0.20236106344848065,14,0.05408326913195985,0.1060032074986413,0.32607142857142857
jara,2025-08-12,0.4790178571428571,0.1422737633697311,28,0.026887213997539957,0.05269893943517832,0.4370089285714286
jara,2025-08-16,0.355,0.3206633748964792,3,0.18513508581573618,0.3628647681988429,0.41700892857142857
jara,2025-08-18,0.4598684210526316,0.21290398475638306,19,0.04884352390685251,0.09573330685743092,0.4074342105263158
jara,2025-08-20,0.4686666666666667,0.18047028511509536,15,0.04659722724907124,0.09133056540817963,0.46426754385964913
jara,2025-08-22,0.3255263157894737,0.1883178071538326,19,0.04320306792909143,0.08467801314101919,0.3970964912280702
jara,2025-08-24,0.3576666666666667,0.18827095469283728,15,0.04861135147332866,0.09527824888772417,0.34159649122807023
jara,2025-08-26,0.40700000000000003,0.18785632808079694,10,0.059405386961116594,0.11643455844378853,0.38233333333333336
jara,2025-08-28,0.44466666666666665,0.1598600578482258,15,0.041275689451328854,0.08090035132460455,0.42583333333333334
jara,2025-08-30,0.32775,0.15696525763767966,20,0.03509849861836197,0.06879305729198947,0.3862083333333333
jara,2025-09-01,0.41857142857142854,0.20309509853174462,7,0.07676273188730794,0.15045495449912355,0.3731607142857143
jara,2025-09-03,0.3553846153846154,0.16466282565851395,26,0.03229303696908036,0.0632943524593975,0.386978021978022
jara,2025-09-05,0.4131666666666666,0.17946464700271617,15,0.0463375726049675,0.0908216423057363,0.38427564102564105
jara,2025-09-07,0.41475,0.16623464841402147,10,0.0525680115025605,0.10303330254501858,0.4139583333333333
jara,2025-09-09,0.5115000000000001,0.1584223203306509,20,0.03542430774125824,0.06943164317286614,0.463125
jara,2025-09-11,0.3393229166666667,0.16076176670422992,48,0.023203962320521743,0.04547976614822261,0.4254114583333334
jara,2025-09-13,0.45216216216216215,0.2182396126474947,37,0.03587837130916158,0.0703216077659567,0.3957425394144144
jara,2025-09-15,0.38,0.1890767040118904,5,0.08455767262643882,0.16573303834782008,0.4160810810810811
jara,2025-09-19,0.424375,0.17880972195791445,16,0.04470243048947861,0.08761676375937807,0.40218750000000003
jara,2025-09-21,0.394,0.19126479608705368,10,0.06048323918427503,0.11854714880117904,0.40918750000000004
jara,2025-09-25,0.4583333333333333,0.13570801990548187,6,0.05540256712864887,0.10858903157215179,0.4261666666666667
jara,2025-09-27,0.34535714285714286,0.2046428811153928,14,0.0546931105554365,0.10719849668865554,0.4018452380952381
jara,2025-09-29,0.51875,0.27109666685110273,10,0.08572829333293518,0.16802745493255294,0.4320535714285715
jara,2025-10-01,0.37525,0.19213276659643452,40,0.030378857779712515,0.05954256124823653,0.447
jara,2025-10-03,0.462,0.20384089656178198,10,0.06446015134260165,0.12634189663149922,0.418625
jara,2025-10-05,0.4396052631578948,0.17795433508896571,38,0.028868005134511942,0.0565812900636434,0.4508026315789474
jara,2025-10-07,0.31666666666666665,0.22796863154762537,12,0.06580887539540606,0.12898539577499588,0.37813596491228074
jara,2025-10-09,0.4361764705882353,0.1285681897351157,17,0.031182366257196132,0.06111743786410442,0.37642156862745096
jara,2025-10-11,0.416875,0.17461415797886112,28,0.032998974100215094,0.06467798923642158,0.42652573529411764
jara,2025-10-13,0.41200000000000003,0.12596295751794126,25,0.02519259150358825,0.049377479347032974,0.4144375
jara,2025-10-15,0.41050000000000003,0.19332206561236506,20,0.043228128025992275,0.08472713093094486,0.41125
jara,2025-10-17,0.328125,0.1816303480515669,16,0.04540758701289172,0.08899887054526777,0.36931250000000004
jara,2025-10-19,0.40125,0.20203472188253643,14,0.05399605067975795,0.10583225933232558,0.3646875
jara,2025-10-21,0.4182142857142857,0.19874088191494443,98,0.020075860757293156,0.039348687084294585,0.4097321428571429
jara,2025-10-23,0.4305701754385965,0.1752485591594655,57,0.02321223871357396,0.04549598787860496,0.4243922305764411
jara,2025-10-25,0.3416176470588235,0.1998890623693602,34,0.034280691381807976,0.06719015510834363,0.38609391124871
jara,2025-10-27,0.3545121951219512,0.1703619487959708,41,0.026606066426140842,0.05214789019523605,0.34806492109038734
jara,2025-10-29,0.4003030303030303,0.17941719622998878,33,0.031232524957859914,0.06121574891740543,0.3774076127124908
jara,2025-10-31,0.4009803921568627,0.16448638122301537,51,0.02303270037204272,0.04514409272920373,0.4006417112299465
jara,2025-11-02,0.38875,0.14098611042699677,28,0.026643870464580274,0.05222198611057734,0.39486519607843135
jara,2025-11-04,0.35666666666666663,0.16053945517120288,33,0.027946332044607832,0.05477481080743135,0.3727083333333333
jara,2025-11-06,0.3277777777777778,0.1548282754273097,27,0.02979671549870759,0.058401562377466874,0.3422222222222222
jara,2025-11-08,0.431875,0.20772477785120708,16,0.05193119446280177,0.10178514114709146,0.37982638888888887
jara,2025-11-10,0.45059859154929577,0.21336900664807887,71,0.025322242351698235,0.04963159500932854,0.4412367957746479
jara,2025-11-12,0.42781045751633984,0.1920535493318817,153,0.015526609209218048,0.030432154050067373,0.4392045245328178
jara,2025-11-14,0.3666287878787879,0.14306970626521834,66,0.017610663458160907,0.034516900377995374,0.39721962269756383
jara,2025-11-16,0.3869939271255061,0.17525198746180243,247,0.011151016930316693,0.021855993183420717,0.376811357502147
jara,2025-11-18,0.4088938053097345,0.18606806940027124,226,0.012377063866574941,0.024259045178486885,0.39794386621762035
jara,2025-11-20,0.42351785714285717,0.19122802136101424,140,0.016161717587657685,0.031676966471809065,0.41620583122629584
jara,2025-11-22,0.4020930232558139,0.1961065834191188,129,0.01726622191077847,0.0338417949451258,0.4128054401993355
jara,2025-11-24,0.3729545454545455,0.17562287218546535,44,0.02647614416562419,0.05189324256462342,0.3875237843551797
jara,2025-11-26,0.3314285714285714,0.162830358922791,119,0.01492663452950867,0.029256203677836993,0.35219155844155847
jara,2025-11-28,0.3745491803278689,0.19079303151403862,61,0.0244285444679962,0.047879947157272555,0.35298887587822014
jara,2025-11-30,0.38516666666666666,0.15351335633980728,30,0.02802757604854705,0.054934049055152215,0.37985792349726777
jara,2025-12-02,0.4256302521008403,0.17977540675427417,119,0.01647998451742785,0.03230076965415859,0.4053984593837535
jara,2025-12-04,0.3850373134328358,0.18901934551931923,67,0.0230923884146877,0.04526108129278789,0.40533378276683807
jara,2025-12-06,0.32877272727272727,0.1788504138623127,55,0.024116184885493032,0.04726772237556634,0.35690502035278154
jara,2025-12-08,0.38539999999999996,0.18107272940267213,25,0.036214545880534424,0.07098050992584747,0.3570863636363636
jara,2025-12-10,0.4103726708074535,0.18527665361142298,161,0.01460184587443197,0.02861961791388666,0.39788633540372675
jara,2025-12-12,0.42633720930232555,0.1918546085828363,86,0.020688214495347433,0.04054890041088097,0.4183549400548895
jara,2025-12-14,0.4238068181818182,0.19926570017475317,132,0.01734385299939596,0.033993951878816084,0.4250720137420719
jara,2025-12-16,0.43000000000000005,0.14924362872258803,29,0.027713846106411356,0.05431913836856626,0.4269034090909091
jara,2025-12-18,0.4952777777777778,0.23904904192329332,9,0.0796830139744311,0.15617870738988496,0.46263888888888893
jara,2025-12-20,0.5,0.13228756555322954,3,0.07637626158259735,0.1496974727018908,0.4976388888888889
jara,2025-12-22,0.5080555555555555,0.21639519191739753,18,0.051004835873652066,0.09996947831235804,0.5040277777777777
jara,2025-12-26,0.4096666666666667,0.16397372031024046,15,0.04233783253181561,0.0829821517623586,0.45886111111111105
kaiser,2025-08-12,0.3846428571428571,0.27177053959264275,7,0.10271960877656654,0.20133043320207042,0.3846428571428571
kaiser,2025-08-14,0.4166666666666667,0.14433756729740643,3,0.08333333333333333,0.16333333333333333,0.4006547619047619
kaiser,2025-08-18,0.6233333333333334,0.3302871225666138,3,0.19069135912370141,0.3737550638824548,0.52
kaiser,2025-08-20,0.525,0.10368220676663864,6,0.042328083664000996,0.08296304398144196,0.5741666666666667
