candidato,atribucion_oculta,construccion_amenaza,deslegitimacion,esencializacion,ninguna,ridiculizacion
jara,0.04149108589951377,0.09335494327390599,0.366936790923825,0.07520259319286872,0.16888168557536468,0.25413290113452186
kaiser,0.0382262996941896,0.10932721712538226,0.31574923547400613,0.0764525993883792,0.15061162079510704,0.30963302752293576
kast,0.05463182897862233,0.12232779097387174,0.32066508313539194,0.07125890736342043,0.13598574821852732,0.29513064133016625
matthei,0.04114713216957606,0.08229426433915212,0.37281795511221943,0.06733167082294264,0.19077306733167082,0.2456359102244389
