modelo,mae,rmse,r2
rf_texto_full,0.08375087193239064,0.11636560552027321,0.6265996478896858
ridge_texto_full,0.0969888218236994,0.12677715308373647,0.5567921482362915
rf_categoricas,0.11693105433461325,0.1524535919347431,0.35908449524829
ridge_categoricas,0.12222958789317637,0.15571006759314474,0.3314115926340777
