semana,alegria,desprecio,esperanza,indignacion,ira,ironia,miedo,ninguna
2025-08-04,0.0,0.26666666666666666,0.0,0.3333333333333333,0.0,0.2,0.047619047619047616,0.1523809523809524
2025-08-11,0.011764705882352941,0.24705882352941178,0.023529411764705882,0.16470588235294117,0.0,0.2,0.09411764705882353,0.25882352941176473
2025-08-18,0.0,0.32038834951456313,0.009708737864077669,0.2524271844660194,0.024271844660194174,0.18446601941747573,0.019417475728155338,0.18932038834951456
2025-08-25,0.006756756756756757,0.30405405405405406,0.02027027027027027,0.3108108108108108,0.013513513513513514,0.20270270270270271,0.013513513513513514,0.12837837837837837
2025-09-01,0.024271844660194174,0.32524271844660196,0.0048543689320388345,0.2912621359223301,0.0048543689320388345,0.1650485436893204,0.02912621359223301,0.1553398058252427
2025-09-08,0.014234875444839857,0.29537366548042704,0.0498220640569395,0.23487544483985764,0.017793594306049824,0.12099644128113879,0.05338078291814947,0.21352313167259787
2025-09-15,0.0,0.35135135135135137,0.04054054054054054,0.36486486486486486,0.0,0.05405405405405406,0.013513513513513514,0.17567567567567569
2025-09-22,0.007633587786259542,0.2595419847328244,0.0,0.21374045801526717,0.015267175572519083,0.29770992366412213,0.022900763358778626,0.183206106870229
2025-09-29,0.0045871559633027525,0.3394495412844037,0.04128440366972477,0.23394495412844038,0.009174311926605505,0.17889908256880735,0.05504587155963303,0.13761467889908258
2025-10-06,0.004149377593360996,0.35269709543568467,0.016597510373443983,0.2157676348547718,0.02074688796680498,0.18672199170124482,0.03319502074688797,0.17012448132780084
2025-10-13,0.0037174721189591076,0.3159851301115242,0.055762081784386616,0.14869888475836432,0.0037174721189591076,0.23048327137546468,0.026022304832713755,0.21561338289962825
2025-10-20,0.013377926421404682,0.35785953177257523,0.03177257525083612,0.225752508361204,0.015050167224080268,0.15217391304347827,0.05852842809364549,0.1454849498327759
2025-10-27,0.01732283464566929,0.27874015748031494,0.02204724409448819,0.2755905511811024,0.015748031496062992,0.15118110236220472,0.06299212598425197,0.1763779527559055
2025-11-03,0.0053475935828877,0.3672014260249554,0.016042780748663103,0.19964349376114082,0.017825311942959002,0.16042780748663102,0.035650623885918005,0.19786096256684493
2025-11-10,0.008507347254447023,0.3031709203402939,0.040989945862335654,0.1956689868522815,0.013147718484145398,0.1500386697602475,0.0843000773395205,0.20417633410672853
2025-11-17,0.008150470219435737,0.29592476489028213,0.019435736677115987,0.2445141065830721,0.019435736677115987,0.1561128526645768,0.05141065830721003,0.20501567398119122
2025-11-24,0.00585480093676815,0.3255269320843091,0.00468384074941452,0.21311475409836064,0.0117096018735363,0.1955503512880562,0.06440281030444965,0.1791569086651054
2025-12-01,0.0024154589371980675,0.2922705314009662,0.021739130434782608,0.25,0.01570048309178744,0.19082125603864733,0.0748792270531401,0.15217391304347827
2025-12-08,0.008447729672650475,0.2555438225976769,0.01795142555438226,0.25343189017951423,0.013727560718057022,0.19957761351636746,0.05174234424498416,0.19957761351636746
2025-12-15,0.016296296296296295,0.28444444444444444,0.016296296296296295,0.28444444444444444,0.01925925925925926,0.17925925925925926,0.047407407407407405,0.15259259259259259
2025-12-22,0.00546448087431694,0.33879781420765026,0.00546448087431694,0.22404371584699453,0.01639344262295082,0.21311475409836064,0.0273224043715847,0.16939890710382513
2025-12-29,0.0,0.21052631578947367,0.0,0.3684210526315789,0.0,0.3157894736842105,0.0,0.10526315789473684
2026-01-05,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.21428571428571427,0.0,0.21428571428571427
2026-01-12,0.0,0.13333333333333333,0.0,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.3333333333333333
2026-01-19,0.0,0.24242424242424243,0.030303030303030304,0.25757575757575757,0.0,0.22727272727272727,0.045454545454545456,0.19696969696969696
