modelo,accuracy,precision,recall,f1
random_forest,0.8605558264261336,0.6327944572748267,0.683291770573566,0.657074340527578
logreg,0.8317893710385178,0.5477815699658704,0.800498753117207,0.6504559270516718
gbm,0.8371526084836665,0.8681318681318682,0.1970074812967581,0.32113821138211385
