estrategia_final,mean,std,n,se,ci95
esencializacion,0.47399798927613945,0.18683479673529596,746,0.00684050792125873,0.01340739552566711
ridiculizacion,0.4567323600973236,0.18234638963435107,2877,0.0033995954395820032,0.006663207061580727
deslegitimacion,0.454447603926097,0.18627101818284864,3464,0.0031648734334187513,0.006203151929500752
construccion_amenaza,0.4324932735426009,0.18934829576500742,1115,0.005670534106107783,0.011114246847971253
atribucion_oculta,0.4319301848049281,0.15246481835483894,487,0.006908840397530571,0.01354132717915992
ERROR,0.3,0.0,4,0.0,0.0
ninguna,0.2405471758664955,0.11709775100328836,1558,0.0029666398580742554,0.00581461412182554
