candidato,n,polarizacion_media,marco_final,emocion_final,estrategia_final,frontera_final,pol_grupo
kast,5053,0.4329478527607362,0.30377993271323966,0.28537502473777954,0.32060162279833765,0.42647931921630716,0.6091430833168415
kaiser,1309,0.43709893048128345,0.25744843391902217,0.33995416348357527,0.3155080213903743,0.359816653934301,0.5981665393430099
matthei,803,0.3886114570361146,0.27895392278953923,0.29389788293897884,0.3723536737235367,0.46948941469489414,0.5915317559153176
jara,3086,0.40132128969539854,0.321451717433571,0.322099805573558,0.3668178872326636,0.8541801685029164,0.6040181464679196
