candidato,conflicto,diagnostico,economico,identitario,moral,motivacional,otro,pronostico
jara,0.32155591572123177,0.2366288492706645,0.02301458670988655,0.05834683954619125,0.14294975688816855,0.027228525121555915,0.13517017828200972,0.055105348460291734
kaiser,0.2576452599388379,0.21024464831804282,0.027522935779816515,0.0764525993883792,0.19418960244648317,0.016819571865443424,0.15902140672782875,0.0581039755351682
kast,0.30384006334125097,0.22288202692003167,0.027315914489311165,0.060372129849564526,0.17992874109263657,0.021179730799683293,0.14073634204275534,0.04374505146476643
matthei,0.2793017456359102,0.27057356608478805,0.01371571072319202,0.05860349127182045,0.1571072319201995,0.026184538653366583,0.1259351620947631,0.0685785536159601
