candidato_1,candidato_2,u_stat,p_value,cohen_d,rank_biserial,p_bonferroni
kast,kaiser,3280273.0,0.6486522063590265,-0.021408731085813044,0.008138483790688045,1.0
kast,matthei,2306148.5,4.1405456525650674e-10,0.2311363517807098,-0.136717174044789,2.4843273915390403e-09
kast,jara,8500366.0,6.949266128701424e-12,0.16669913110797285,-0.09024072633070657,4.169559677220854e-11
kaiser,matthei,600321.0,3.605579847178406e-08,0.25053699372244137,-0.14224256440943872,2.1633479083070437e-07
kaiser,jara,2216793.0,2.8271450870789795e-07,0.18954076035369594,-0.09753800772061605,1.6962870522473876e-06
matthei,jara,1180953.5,0.039925315259288344,-0.06875946653413821,0.04687178427623562,0.23955189155573006
