modelo,brier_antes,brier_despues,logloss_antes,logloss_despues
RandomForest,0.11049030080644429,0.11191878808203722,0.3653670794999165,0.3529612496814872
GBM,0.11375569097438921,0.11313096944271538,0.3608149435603442,0.35896119226239853
LogReg,0.17801905698620638,0.12146059882427447,0.5193374377085928,0.4122785203664422
