candidato,u_stat,p_value,cohen_d,media_posicionamiento,media_segunda_vuelta
kast,1394885.0,0.45792558962614893,0.03132780533215049,0.4408132147395172,0.43474584050487664
kaiser,31718.0,0.17518114519865258,0.12635411817392656,0.4418000000000001,0.41658783783783787
matthei,24322.5,0.08075600528896398,0.1468617966322716,0.38599299065420556,0.3579830917874396
jara,546658.5,0.22214778105770294,0.03187153620682328,0.4056788079470199,0.399814497716895
