semana,conflicto,diagnostico,economico,identitario,moral,motivacional,otro,pronostico
2025-08-04,0.49523809523809526,0.1523809523809524,0.0,0.0380952380952381,0.17142857142857143,0.0,0.13333333333333333,0.009523809523809525
2025-08-11,0.2823529411764706,0.3058823529411765,0.011764705882352941,0.058823529411764705,0.10588235294117647,0.023529411764705882,0.15294117647058825,0.058823529411764705
2025-08-18,0.2912621359223301,0.23786407766990292,0.02912621359223301,0.038834951456310676,0.21844660194174756,0.009708737864077669,0.15048543689320387,0.024271844660194174
2025-08-25,0.46621621621621623,0.13513513513513514,0.0472972972972973,0.05405405405405406,0.16216216216216217,0.02027027027027027,0.10135135135135136,0.013513513513513514
2025-09-01,0.3786407766990291,0.23300970873786409,0.014563106796116505,0.04854368932038835,0.10194174757281553,0.043689320388349516,0.14563106796116504,0.03398058252427184
2025-09-08,0.4199288256227758,0.17437722419928825,0.014234875444839857,0.07473309608540925,0.15302491103202848,0.03914590747330961,0.07829181494661921,0.046263345195729534
2025-09-15,0.28378378378378377,0.21621621621621623,0.02702702702702703,0.06756756756756757,0.24324324324324326,0.0,0.13513513513513514,0.02702702702702703
2025-09-22,0.31297709923664124,0.17557251908396945,0.030534351145038167,0.08396946564885496,0.12213740458015267,0.015267175572519083,0.22900763358778625,0.030534351145038167
2025-09-29,0.2981651376146789,0.19724770642201836,0.04128440366972477,0.0871559633027523,0.1743119266055046,0.022935779816513763,0.12385321100917432,0.05504587155963303
2025-10-06,0.2821576763485477,0.25311203319502074,0.03734439834024896,0.03734439834024896,0.2033195020746888,0.03319502074688797,0.11618257261410789,0.03734439834024896
2025-10-13,0.2788104089219331,0.25650557620817843,0.026022304832713755,0.055762081784386616,0.137546468401487,0.02973977695167286,0.1821561338289963,0.03345724907063197
2025-10-20,0.26421404682274247,0.24581939799331104,0.01839464882943144,0.06856187290969899,0.19063545150501673,0.020066889632107024,0.1354515050167224,0.056856187290969896
2025-10-27,0.26456692913385826,0.262992125984252,0.02204724409448819,0.07874015748031496,0.16220472440944883,0.023622047244094488,0.12598425196850394,0.05984251968503937
2025-11-03,0.2887700534759358,0.19073083778966132,0.03208556149732621,0.062388591800356503,0.1889483065953654,0.026737967914438502,0.15508021390374332,0.05525846702317291
2025-11-10,0.2776488785769528,0.2266047950502707,0.02088167053364269,0.05336426914153132,0.139984532095901,0.027068832173240527,0.15622583139984533,0.09822119102861562
2025-11-17,0.27398119122257053,0.23761755485893418,0.027586206896551724,0.07272727272727272,0.18557993730407524,0.023824451410658306,0.1304075235109718,0.04827586206896552
2025-11-24,0.3407494145199063,0.24121779859484777,0.01756440281030445,0.03747072599531616,0.16744730679156908,0.01639344262295082,0.14168618266978922,0.03747072599531616
2025-12-01,0.29347826086956524,0.22705314009661837,0.022946859903381644,0.06280193236714976,0.1859903381642512,0.026570048309178744,0.1292270531400966,0.051932367149758456
2025-12-08,0.307286166842661,0.22280887011615627,0.03801478352692714,0.05385427666314678,0.16050686378035903,0.014783526927138331,0.15945089757127773,0.04329461457233368
2025-12-15,0.28888888888888886,0.2518518518518518,0.028148148148148148,0.07111111111111111,0.1674074074074074,0.016296296296296295,0.14074074074074075,0.035555555555555556
2025-12-22,0.3825136612021858,0.23497267759562843,0.00546448087431694,0.09289617486338798,0.15846994535519127,0.01639344262295082,0.1092896174863388,0.0
2025-12-29,0.5263157894736842,0.15789473684210525,0.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.0
2026-01-05,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142
2026-01-12,0.4666666666666667,0.2,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
2026-01-19,0.2878787878787879,0.13636363636363635,0.0,0.030303030303030304,0.2878787878787879,0.045454545454545456,0.15151515151515152,0.06060606060606061
