feature,importance
cat_estrategia_final_ninguna,0.16264019248226366
cat_tipo_hilo_mixto,0.05996600040055148
num_n_words,0.04957349432107875
num_comment_score,0.033230689072522676
num_n_chars,0.03271220706168968
cat_emocion_final_ira,0.031650293732774074
tfidf_ctm,0.018720237295696735
num_n_upper,0.01767485680482032
tfidf_wea,0.014596656060984233
cat_emocion_final_desprecio,0.013820440238914666
tfidf_culiao,0.013317658440024315
cat_emocion_final_ironia,0.012969472876103246
cat_tipo_hilo_solo_derecha_multiple,0.010746700044474098
cat_marco_final_otro,0.010263559966175907
cat_marco_final_moral,0.009950954787550533
cat_emocion_final_indignacion,0.007522860582331208
tfidf_nazi,0.007405005470130222
tfidf_vieja,0.006445076746252148
tfidf_más,0.005622814749588424
cat_frontera_final_ninguna,0.005448842830860569
num_n_question,0.005047313437135325
cat_estrategia_final_ridiculizacion,0.004892889444475527
cat_marco_final_conflicto,0.004421993387851279
cat_marco_final_diagnostico,0.004401575090412264
tfidf_votar,0.003927850130319874
cat_estrategia_final_deslegitimacion,0.003894963809460783
cat_fase_segunda_vuelta,0.003796614883131612
tfidf_chucha,0.0037897742787360066
tfidf_qliao,0.003598026307590824
tfidf_está,0.0035542721604074597
