cluster,n,top_terms
0,5081,"gente, chile, hacer, está, igual, mismo, qué, tan, votar, menos, mejor, gobierno, puede, así, país"
1,122,"redd it, redd, it, webp, auto webp, preview redd, preview, https preview, format, width, auto, https, png, format pjpg, jpeg"
2,501,"derecha, izquierda, centro, centro izquierda, gente, extrema, extrema derecha, chile, izquierda derecha, votar, ultra, está, gobierno, más, hacer"
3,760,"más, está, gente, menos, así, qué, chile, mismo, país, hacer, gobierno, tan, creo, también, aún"
4,308,"años, hace, más, hace años, gobierno, así, años más, 30 años, menos, gente, 16 años, yo, 30, chile, 16"
5,236,"wea, pa, más, saco, hace, gente, mismo, saco wea, weas, hacer, puta, votar, ver, misma, misma wea"
6,472,"yo, vuelta, segunda, segunda vuelta, creo, yo creo, primera, primera vuelta, votar, menos, voto, parisi, voy, igual, gente"
7,280,"boric, gobierno, piñera, gobierno boric, presidente, mismo, más, menos, gente, igual, derecha, nuevo, hizo, hacer, bachelet"
8,188,"comunista, partido, partido comunista, comunismo, pc, decir, china comunista, gente, china, gobierno, chile, candidata, izquierda, mismo, gobierno comunista"
