emocion_final,mean,std,n,se,ci95
ira,0.7625657894736841,0.17621854549261134,152,0.014293211439703671,0.028014694421819194
desprecio,0.48662351620147576,0.18831998700408548,3117,0.0033730906625306176,0.006611257698560011
indignacion,0.45541135335252986,0.1831101488273073,2431,0.0037138121797475475,0.007279071872305193
ironia,0.3904795288839035,0.14899846149524013,1783,0.0035286299216437463,0.006916114646421743
miedo,0.3730496453900709,0.1733895300971156,564,0.007301016293205346,0.014309991934682478
alegria,0.3216477272727273,0.15838756770646725,88,0.016884171448420783,0.03309297603890474
ninguna,0.3020412234042553,0.15904367282098542,1880,0.003668068790422361,0.007189414829227827
ERROR,0.3,0.0,4,0.0,0.0
esperanza,0.2870366379310345,0.12234883664890403,232,0.008032594652452239,0.015743885518806386
