candidato,alegria,desprecio,esperanza,indignacion,ira,ironia,miedo,ninguna
jara,0.010372771474878443,0.32220421393841164,0.03047001620745543,0.22787682333873582,0.010372771474878443,0.16304700162074554,0.0460291734197731,0.18962722852512157
kaiser,0.010703363914373088,0.34021406727828746,0.02217125382262997,0.20030581039755352,0.0191131498470948,0.16743119266055045,0.0581039755351682,0.1819571865443425
kast,0.007521773555027712,0.2854315122723674,0.016429136975455266,0.25455265241488517,0.017814726840855107,0.18665874901029295,0.05958036421219319,0.1720110847189232
matthei,0.004987531172069825,0.2942643391521197,0.032418952618453865,0.22443890274314215,0.006234413965087282,0.14713216957605985,0.05610972568578554,0.2344139650872818
