n_comentarios,polarizacion_media,pct_negativo,author_hash,emocion_dominante,candidato_mas_frecuente,candidato_principal,tipo_autor
1,0.65,1.0,u_0c0505bffecc767f,indignacion,kast,kast,esporadico
1,0.4,1.0,u_54c09a46973f78c2,desprecio,kast,kast,esporadico
1,0.7,1.0,u_7e0c2557394a0e6b,desprecio,jara,jara,esporadico
2,0.4,0.5,u_0a6cd24e803b8c93,indignacion,kast,kast,recurrente
1,0.65,1.0,u_2ba6c798ae006c45,indignacion,matthei,matthei,esporadico
1,0.5,1.0,u_2cd0ac80e4f1f2a8,miedo,jara,jara,esporadico
1,0.65,1.0,u_708e05f403786378,desprecio,kast,kast,esporadico
6,0.5,1.0,u_cee2e216856533fa,ninguna,kast,kast,activo
14,0.5142857142857143,0.8571428571428571,u_115812bd9d7b6df8,desprecio,kast,kast,activo
1,0.6,1.0,u_8713f48e6a4e9f54,ironia,"kast, jara",empate,esporadico
1,0.7,1.0,u_e4f106e1d7ab5015,ira,kast,kast,esporadico
1,0.55,1.0,u_eb4b36b4606a94fb,miedo,kast,kast,esporadico
3,0.5166666666666667,0.6666666666666666,u_3958c95518a333a7,ironia,kast,kast,recurrente
2,0.6,0.5,u_51f63c92487eed39,desprecio,jara,empate,recurrente
3,0.2833333333333333,0.3333333333333333,u_ccf50c7d619cf462,ninguna,kaiser,kaiser,recurrente
1,0.3,0.0,u_c73929c1e4bed1a9,desprecio,kast,kast,esporadico
1,0.6,0.0,u_a505babef13e9e6b,indignacion,"kast, jara",empate,esporadico
1,0.3,0.0,u_d531530a8e29902b,ironia,kast,kast,esporadico
1,0.2,0.0,u_d96cc3ca5a2e563f,ninguna,matthei,matthei,esporadico
3,0.3333333333333333,0.6666666666666666,u_fb197f0cd193f52b,desprecio,jara,empate,recurrente
1,0.2,1.0,u_b9556102f1003977,ironia,kast,kast,esporadico
1,0.65,0.0,u_a1c199a8d516d217,desprecio,kaiser,kaiser,esporadico
1,0.55,1.0,u_0ed1570378f3ad8b,ninguna,kast,kast,esporadico
4,0.42500000000000004,0.75,u_fe88b135da46fc07,desprecio,jara,empate,recurrente
2,0.45,1.0,u_09655f8f6df12fb4,indignacion,kast,kast,recurrente
1,0.1,1.0,u_6f69bd3538ae519c,ninguna,"kast, kaiser",empate,esporadico
1,0.2,0.0,u_8477044c775fa264,ninguna,kaiser,kaiser,esporadico
1,0.5,1.0,u_62d4a9d3a3f1be25,desprecio,matthei,matthei,esporadico
2,0.4,1.0,u_9d3c404bb1e2d56b,desprecio,kaiser,empate,recurrente
2,0.275,0.0,u_128340a52a081393,ironia,jara,jara,recurrente
1,0.5,1.0,u_db57d5ff5f2a9e72,indignacion,kast,kast,esporadico
1,0.55,1.0,u_99a798de82bbbcba,desprecio,"kast, matthei",empate,esporadico
2,0.325,1.0,u_9ed252e614611a5d,desprecio,kast,kast,recurrente
1,0.35,0.0,u_07429ae30d3ee1d0,indignacion,kast,kast,esporadico
1,0.3,1.0,u_9fe2f8c28b4bde05,ironia,kast,kast,esporadico
1,0.45,1.0,u_23fc31544508e3ab,ironia,kast,kast,esporadico
2,0.2,0.0,u_27749af9998c55be,ninguna,jara,empate,recurrente
2,0.525,1.0,u_4a17f3c88fbe9f06,desprecio,kast,kast,recurrente
10,0.32999999999999996,0.5,u_54e66d837fa691e7,ironia,kast,kast,activo
7,0.42857142857142855,0.7142857142857143,u_179eccc6a2209a22,indignacion,kaiser,empate,activo
1,0.1,0.0,u_528c272149eaeab4,ninguna,"kast, kaiser, jara",empate,esporadico
1,0.2,1.0,u_0314d66631c087ef,miedo,"kast, jara",empate,esporadico
1,0.3,1.0,u_f38889ac597f1e94,ninguna,kast,kast,esporadico
1,0.4,0.0,u_c3927b13184f5834,ironia,kast,kast,esporadico
1,0.55,1.0,u_ddd76cda273350cc,desprecio,jara,jara,esporadico
25,0.43200000000000005,0.68,u_c3f81acd47ebea2e,desprecio,kast,kast,hiperactivo
1,0.2,0.0,u_7def8a734422ca37,ironia,kast,kast,esporadico
3,0.5333333333333333,0.6666666666666666,u_1cf9a8c5ed93a5fd,desprecio,"kast, jara",empate,recurrente
1,0.5,1.0,u_fba18bb007d5ab36,ironia,jara,jara,esporadico
1,0.6,1.0,u_19b327534c7680ff,ninguna,jara,jara,esporadico
2,0.625,1.0,u_c81381e020c3fe54,desprecio,jara,empate,recurrente
3,0.3833333333333333,0.6666666666666666,u_ea0da1c31953d37d,desprecio,kast,kast,recurrente
2,0.275,0.0,u_b29423744ae0a46f,alegria,kast,kast,recurrente
1,0.35,0.0,u_b0adb7bd5e5f90d5,ironia,kast,kast,esporadico
1,0.45,1.0,u_bd88af3635fd0940,ironia,kast,kast,esporadico
3,0.2833333333333333,0.3333333333333333,u_978dcc5362118001,ninguna,"kast, jara",kast,recurrente
2,0.47500000000000003,0.5,u_7fa9ec8613a16ff3,desprecio,kast,kast,recurrente
1,0.2,0.0,u_93882e7a6be05764,indignacion,jara,jara,esporadico
4,0.4125,1.0,u_66b3ea10bcf7f561,indignacion,"kast, jara",kast,recurrente
7,0.4642857142857143,0.42857142857142855,u_a45adb030adb7916,desprecio,kast,kast,activo
1,0.25,0.0,u_71b10ab83ecad230,ironia,kast,kast,esporadico
1,0.2,0.0,u_97bc12e9755035b5,ironia,kast,kast,esporadico
2,0.5,0.5,u_1507c132df91d653,indignacion,jara,empate,recurrente
3,0.5833333333333334,1.0,u_e71fdfefaf1f3b71,indignacion,kast,kast,recurrente
1,0.45,1.0,u_5eb95a2f95d7355f,ironia,kast,kast,esporadico
9,0.4277777777777778,0.8888888888888888,u_63ca777256fbe27e,desprecio,jara,jara,activo
6,0.4000000000000001,0.6666666666666666,u_ded9177b62f5924b,ironia,kaiser,empate,activo
1,0.5,1.0,u_3ca4c9bcd6b88333,ninguna,jara,jara,esporadico
2,0.375,0.5,u_62e9f63f729c3621,desprecio,kast,kast,recurrente
2,0.325,0.5,u_34cb276a64d4b355,desprecio,kast,kast,recurrente
1,0.5,1.0,u_d5427ae58e2da49c,ninguna,kast,kast,esporadico
4,0.48750000000000004,1.0,u_c934f9031a76a55d,ironia,kast,kast,recurrente
1,0.65,1.0,u_bd79f6620fc967aa,ironia,kast,kast,esporadico
1,0.3,1.0,u_2383cb9179b79e96,indignacion,jara,jara,esporadico
1,0.3,0.0,u_c0973cb41c25a8e4,ironia,"kaiser, matthei",empate,esporadico
1,0.5,1.0,u_b0996a7fcff1d3ac,ninguna,kast,kast,esporadico
1,0.45,1.0,u_f090d93d16c1c3af,ironia,kast,kast,esporadico
2,0.375,0.5,u_393205dad79890cc,ironia,kast,kast,recurrente
1,0.55,1.0,u_b098b28f5ddba863,indignacion,"kast, jara",empate,esporadico
1,0.15,0.0,u_031810183363d582,ninguna,kast,kast,esporadico
1,0.2,1.0,u_4b0df24ca0c2c37b,indignacion,kast,kast,esporadico
1,0.3,1.0,u_797bed75b1f3fcd2,indignacion,"kast, jara",empate,esporadico
1,0.6,1.0,u_3a6bce3232a70db0,desprecio,kast,kast,esporadico
1,0.4,1.0,u_b16e66210d05515d,miedo,matthei,matthei,esporadico
2,0.2,1.0,u_b1d2c7064747f45e,indignacion,"kast, jara",kast,recurrente
6,0.39166666666666666,0.6666666666666666,u_f0f8aed6231b39c8,indignacion,kast,kast,activo
2,0.5,1.0,u_6f68006499190519,indignacion,kast,kast,recurrente
8,0.40625,0.375,u_84a4da3128bec7e0,ironia,kast,kast,activo
1,0.35,0.0,u_b7bdb2d6842575a3,ninguna,kast,kast,esporadico
11,0.36818181818181817,0.5454545454545454,u_51a9ef7934c9a237,indignacion,kast,kast,activo
4,0.4,0.75,u_7e6f1b4f80ac9109,desprecio,jara,jara,recurrente
1,0.5,1.0,u_8a38d3edee4cb6b2,desprecio,kast,kast,esporadico
1,0.6,1.0,u_679330e9ea3133e2,desprecio,jara,jara,esporadico
5,0.5700000000000001,0.8,u_192c1ce61404f428,desprecio,kast,kast,recurrente
1,0.5,1.0,u_7a1c9f2c114e20ae,indignacion,kast,kast,esporadico
15,0.43,0.6666666666666666,u_18d3d775533fe915,desprecio,kast,kast,activo
4,0.4375,0.5,u_a1770cbadba4ff59,ninguna,kast,kast,recurrente
1,0.45,1.0,u_0563320d22f26117,desprecio,jara,jara,esporadico
1,0.55,1.0,u_d461786736674486,ironia,kast,kast,esporadico
1,0.3,0.0,u_ee1b60d47c512c8e,ironia,kaiser,kaiser,esporadico
1,0.1,0.0,u_cfae1abfc6273387,ninguna,kaiser,kaiser,esporadico
1,0.25,0.0,u_8a546239486de810,indignacion,kast,kast,esporadico
6,0.4666666666666666,0.8333333333333334,u_f76e5574798a3101,desprecio,kaiser,kast,activo
1,0.2,0.0,u_2260ddf0350fd098,indignacion,jara,jara,esporadico
18,0.2833333333333333,0.4444444444444444,u_ad249f97bddbf955,ninguna,kast,kast,activo
1,0.75,1.0,u_29c3cfff16d09bca,miedo,kaiser,kaiser,esporadico
1,0.45,1.0,u_376a2bc6e5de248c,indignacion,kaiser,kaiser,esporadico
2,0.525,0.0,u_1e94a3e35d0e924f,desprecio,kaiser,empate,recurrente
4,0.525,1.0,u_0354e6afb665388a,indignacion,jara,empate,recurrente
2,0.375,1.0,u_733b0b2091deecff,desprecio,kast,kast,recurrente
1,0.4,1.0,u_aece779e19b36348,ironia,kast,kast,esporadico
2,0.5,1.0,u_c236cc5396413257,miedo,kaiser,empate,recurrente
2,0.525,1.0,u_323b5b977d873388,indignacion,matthei,matthei,recurrente
1,0.5,1.0,u_1c6a06dc10e6d982,ninguna,kaiser,kaiser,esporadico
1,0.1,0.0,u_5cef54762e2744b3,ninguna,"kast, jara",empate,esporadico
1,0.35,0.0,u_a2d9a74c54c171f6,ironia,"kast, jara",empate,esporadico
