posicionamiento,segunda_vuelta,n_autores
NEGATIVO,NEGATIVO,188
NEUTRO,NEGATIVO,44
NEGATIVO,NEUTRO,21
NEUTRO,NEUTRO,8
NEGATIVO,POSITIVO,6
POSITIVO,NEGATIVO,6
POSITIVO,POSITIVO,3
NEUTRO,POSITIVO,2
POSITIVO,NEUTRO,2
