posicionamiento,segunda_vuelta,n_autores
NEUTRO,NEGATIVO,8
NEUTRO,NEUTRO,6
NEGATIVO,NEUTRO,5
POSITIVO,NEGATIVO,2
NEGATIVO,NEGATIVO,1
NEGATIVO,POSITIVO,1
NEUTRO,POSITIVO,1
POSITIVO,NEUTRO,1
