dia,n,prob_neg,prob_pos,pol_mean,candidato
2025-11-07,10,0.1,0.0,0.246,jara
2025-11-08,6,0.16666666666666666,0.16666666666666666,0.325,jara
2025-11-09,10,0.4,0.2,0.496,jara
2025-11-10,16,0.5,0.125,0.48328125,jara
2025-11-11,55,0.4727272727272727,0.09090909090909091,0.44109090909090914,jara
2025-11-12,73,0.3835616438356164,0.0821917808219178,0.41054794520547944,jara
2025-11-13,80,0.5,0.0875,0.44356249999999997,jara
2025-11-14,38,0.15789473684210525,0.21052631578947367,0.3340789473684211,jara
2025-11-15,28,0.6428571428571429,0.03571428571428571,0.41080357142857143,jara
2025-11-16,173,0.4161849710982659,0.06358381502890173,0.3920086705202312,jara
2025-11-17,74,0.40540540540540543,0.013513513513513514,0.37527027027027027,jara
2025-11-18,111,0.46846846846846846,0.06306306306306306,0.4238738738738739,jara
2025-11-19,115,0.43478260869565216,0.034782608695652174,0.39443478260869563,jara
2025-11-20,82,0.45121951219512196,0.10975609756097561,0.41,jara
2025-11-21,58,0.5862068965517241,0.06896551724137931,0.44262931034482755,jara
2025-11-22,53,0.5094339622641509,0.018867924528301886,0.40221698113207544,jara
2025-11-23,76,0.4473684210526316,0.039473684210526314,0.40200657894736846,jara
2025-11-24,14,0.42857142857142855,0.14285714285714285,0.4342857142857143,jara
2025-11-25,30,0.3333333333333333,0.03333333333333333,0.3443333333333333,jara
2025-11-26,63,0.3333333333333333,0.047619047619047616,0.37523809523809526,jara
2025-11-27,56,0.19642857142857142,0.0,0.28214285714285714,jara
2025-11-28,33,0.12121212121212122,0.030303030303030304,0.3203030303030303,jara
2025-11-29,28,0.6071428571428571,0.0,0.4384821428571429,jara
2025-11-30,27,0.5185185185185185,0.037037037037037035,0.38722222222222225,jara
2025-12-01,3,0.6666666666666666,0.0,0.3666666666666667,jara
2025-12-02,37,0.32432432432432434,0.0,0.37351351351351353,jara
2025-12-03,82,0.6463414634146342,0.036585365853658534,0.4491463414634146,jara
2025-12-04,39,0.2564102564102564,0.15384615384615385,0.3687179487179487,jara
2025-12-05,28,0.5,0.10714285714285714,0.4077678571428572,jara
