variable,n_total,n_filas,n_columnas,chi2,p_value,cramers_v
marco_x_candidato,10247,4,8,79.64801106524307,9.245401531776084e-09,0.05090125288062927
emocion_x_candidato,10247,4,8,100.14613267992632,2.7192678329150545e-12,0.05707660017008639
estrategia_x_candidato,10247,4,6,90.30619420173535,8.695949258679527e-13,0.0542000609069217
marco_x_emocion,10247,8,8,3240.631635208626,0.0,0.21255310106594674
estrategia_x_frontera,10247,6,3,681.9533143407845,4.6937106171640725e-140,0.18241643176791783
marco_x_fase_global,10247,3,8,49.854814477890365,6.457749929918175e-06,0.04932194406138565
frontera_x_candidato,10251,4,4,2616.1194925560467,0.0,0.2916654886638723
