candidato,chi2,p_value,cramers_v,n_total
kast,21.903242858711693,0.08062444937805197,0.046559417740301305,5052
kaiser,23.87362035794885,0.04745812481763634,0.0955301086876938,1308
matthei,17.674316470341502,0.2220190095692701,0.10497095094647338,802
jara,31.8170583200324,0.004252885604874162,0.07181041391188676,3085
