estrategia_final,inter_bloque,intra_bloque,ninguna
atribucion_oculta,0.5482546201232033,0.17453798767967146,0.27720739219712526
construccion_amenaza,0.662780269058296,0.10134529147982063,0.2358744394618834
deslegitimacion,0.5782332563510393,0.18302540415704388,0.23874133949191687
esencializacion,0.6595174262734584,0.11126005361930295,0.2292225201072386
ninguna,0.32926829268292684,0.13029525032092426,0.540436456996149
ridiculizacion,0.48279457768508866,0.21932568647897116,0.29787973583594024
