posicionamiento,segunda_vuelta,n_autores
NEGATIVO,NEGATIVO,73
NEUTRO,NEGATIVO,35
NEGATIVO,NEUTRO,25
NEUTRO,NEUTRO,23
NEUTRO,POSITIVO,8
NEGATIVO,POSITIVO,4
POSITIVO,NEUTRO,4
POSITIVO,NEGATIVO,3
