bloc,precision,recall,f1-score,support
Left,0.8540575916230366,0.8835477318889641,0.8685524126455908,1477.0
Right-Traditional,0.7009880395215808,0.5930488341399032,0.6425166825548141,2273.0
Right-Radical-Conservative,0.5301752109020117,0.5151324085750315,0.5225455708346658,1586.0
Right-Libertarian,0.45987158908507225,0.6352549889135255,0.5335195530726258,902.0
accuracy,0.6481243988457839,0.6481243988457839,0.6481243988457839,0.6481243988457839
macro avg,0.6362731077829255,0.656745990879356,0.6417835547769242,6238.0
weighted avg,0.6589373091543931,0.6481243988457839,0.6497730434658413,6238.0
