metric,value
bloc_accuracy,0.6481243988457839
bloc_f1_macro,0.6417835547769242
bloc_f1_micro,0.6481243988457839
within_right_confusion,0.4249107330392775
strategy_accuracy,0.43587688361654375
strategy_f1_macro,0.3404059643316238
sentiment_accuracy,0.8416159025328631
sentiment_f1_macro,0.8036251430712545
bloc_ece,0.004116547726010708
