config,MAE_mean,MAE_sd,R2_mean,R2_sd
A_TF-IDF,0.10516521185600183,0.0022289413181631073,0.4315613796364701,0.027214283233344877
B_LLM,0.09218485031442125,0.0013666427114651285,0.553861474295898,0.009526521804879234
C_combinado,0.08420337149469026,0.0012618030577031673,0.6184323374369003,0.006802682598420632
