document,chars,sents,tokens,types,puncts,numbers,symbols,urls,tags,emojis
text901,NA,NA,6,6,0,0,0,0,0,0
text902,NA,NA,10,10,0,0,0,0,0,0
text903,NA,NA,13,13,0,0,0,0,0,0
text904,NA,NA,9,9,0,0,0,0,0,0
text905,NA,NA,9,9,0,0,0,0,0,0
text906,NA,NA,9,9,0,0,0,0,0,0
text907,NA,NA,8,8,0,0,0,0,0,0
text908,NA,NA,12,12,0,0,0,0,0,0
text909,NA,NA,11,11,0,0,0,0,0,0
text910,NA,NA,6,6,0,0,0,0,0,0
text911,NA,NA,12,11,0,0,0,0,0,0
text912,NA,NA,13,13,0,0,0,0,0,0
text913,NA,NA,7,6,0,0,0,0,0,0
text914,NA,NA,10,10,0,0,0,0,0,0
text915,NA,NA,9,9,0,0,0,0,0,0
text916,NA,NA,1,1,0,0,0,0,0,0
text917,NA,NA,13,13,0,0,0,0,0,0
text918,NA,NA,8,8,0,0,0,0,0,0
text919,NA,NA,9,9,0,0,0,0,0,0
text920,NA,NA,11,11,0,0,0,0,0,0
text921,NA,NA,8,8,0,0,0,0,0,0
text922,NA,NA,9,9,0,0,0,0,0,0
text923,NA,NA,7,7,0,0,0,0,0,0
text924,NA,NA,7,7,0,0,0,0,0,0
text925,NA,NA,14,14,0,0,0,0,0,0
text926,NA,NA,11,10,0,0,0,0,0,0
text927,NA,NA,7,7,0,0,0,0,0,0
text928,NA,NA,10,10,0,0,0,0,0,0
text929,NA,NA,28,23,0,0,0,0,0,0
text930,NA,NA,9,9,0,0,0,0,0,0
text931,NA,NA,10,10,0,0,0,0,0,0
text932,NA,NA,24,23,0,0,0,0,0,0
text933,NA,NA,13,13,0,0,0,0,0,0
text934,NA,NA,10,10,0,0,0,0,0,0
text935,NA,NA,6,6,0,0,0,0,0,0
text936,NA,NA,12,12,0,0,0,0,0,0
text937,NA,NA,8,8,0,0,0,0,0,0
text938,NA,NA,9,8,0,0,0,0,0,0
text939,NA,NA,11,11,0,0,0,0,0,0
text940,NA,NA,7,7,0,0,0,0,0,0
text941,NA,NA,2,2,0,0,0,0,0,0
text942,NA,NA,9,9,0,0,0,0,0,0
text943,NA,NA,10,10,0,0,0,0,0,0
text944,NA,NA,9,9,0,0,0,0,0,0
text945,NA,NA,10,9,0,0,0,0,0,0
text946,NA,NA,39,38,0,0,0,0,0,0
text947,NA,NA,17,17,0,0,0,0,0,0
text948,NA,NA,18,18,0,0,0,0,0,0
text949,NA,NA,45,39,0,0,0,0,0,0
text950,NA,NA,6,6,0,0,0,0,0,0
text951,NA,NA,9,9,0,0,0,0,0,0
text952,NA,NA,21,19,0,0,0,0,0,0
text953,NA,NA,9,9,0,0,0,0,0,0
text954,NA,NA,9,9,0,0,0,0,0,0
text955,NA,NA,14,14,0,0,0,0,0,0
text956,NA,NA,8,8,0,0,0,0,0,0
text957,NA,NA,24,20,0,0,0,0,0,0
text958,NA,NA,98,88,0,0,0,0,0,0
text959,NA,NA,11,11,0,0,0,0,0,0
text960,NA,NA,9,9,0,0,0,0,0,0
text961,NA,NA,12,12,0,0,0,0,0,0
text962,NA,NA,2,2,0,0,0,0,0,0
text963,NA,NA,17,16,0,0,0,0,0,0
text964,NA,NA,15,15,0,0,0,0,0,0
text965,NA,NA,3,3,0,0,0,0,0,0
text966,NA,NA,9,9,0,0,0,0,0,0
text967,NA,NA,10,10,0,0,0,0,0,0
text968,NA,NA,36,28,0,0,0,0,0,0
text969,NA,NA,59,55,0,0,0,0,0,0
text970,NA,NA,86,74,0,0,0,0,0,0
text971,NA,NA,11,11,0,0,0,0,0,0
text972,NA,NA,6,6,0,0,0,0,0,0
text973,NA,NA,51,46,0,0,0,0,0,0
text974,NA,NA,11,11,0,0,0,0,0,0
text975,NA,NA,5,4,0,0,0,0,0,0
text976,NA,NA,11,11,0,0,0,0,0,0
text977,NA,NA,49,44,0,0,0,0,0,0
text978,NA,NA,11,11,0,0,0,0,0,0
text979,NA,NA,12,12,0,0,0,0,0,0
text980,NA,NA,8,8,0,0,0,0,0,0
text981,NA,NA,11,11,0,0,0,0,0,0
text982,NA,NA,13,13,0,0,0,0,0,0
text983,NA,NA,9,9,0,0,0,0,0,0
text984,NA,NA,6,6,0,0,0,0,0,0
text985,NA,NA,6,6,0,0,0,0,0,0
text986,NA,NA,49,38,0,0,0,0,0,0
text987,NA,NA,4,4,0,0,0,0,0,0
text988,NA,NA,9,9,0,0,0,0,0,0
text989,NA,NA,9,9,0,0,0,0,0,0
text990,NA,NA,161,119,0,0,0,0,0,0
text991,NA,NA,31,22,0,0,0,0,0,0
text992,NA,NA,12,12,0,0,0,0,0,0
text993,NA,NA,12,11,0,0,0,0,0,0
text994,NA,NA,85,67,0,0,0,0,0,0
text995,NA,NA,10,10,0,0,0,0,0,0
text996,NA,NA,9,9,0,0,0,0,0,0
text997,NA,NA,89,75,0,0,0,0,0,0
text998,NA,NA,5,5,0,0,0,0,0,0
text999,NA,NA,229,165,0,0,0,0,0,0
text1000,NA,NA,8,7,0,0,0,0,0,0
text1001,NA,NA,2,2,0,0,0,0,0,0
text1002,NA,NA,3,3,0,0,0,0,0,0
text1003,NA,NA,2,2,0,0,0,0,0,0
text1004,NA,NA,27,21,0,0,0,0,0,0
text1005,NA,NA,3,3,0,0,0,0,0,0
text1006,NA,NA,8,8,0,0,0,0,0,0
text1007,NA,NA,6,6,0,0,0,0,0,0
text1008,NA,NA,6,6,0,0,0,0,0,0
text1009,NA,NA,14,9,0,0,0,0,0,0
text1010,NA,NA,4,4,0,0,0,0,0,0
text1011,NA,NA,659,367,0,0,0,0,0,0
text1012,NA,NA,22,22,0,0,0,0,0,0
text1013,NA,NA,10,10,0,0,0,0,0,0
text1014,NA,NA,7,6,0,0,0,0,0,0
text1015,NA,NA,7,6,0,0,0,0,0,0
text1016,NA,NA,7,7,0,0,0,0,0,0
text1017,NA,NA,7,7,0,0,0,0,0,0
text1018,NA,NA,23,20,0,0,0,0,0,0
text1019,NA,NA,127,94,0,0,0,0,0,0
text1020,NA,NA,24,23,0,0,0,0,0,0
text1021,NA,NA,15,15,0,0,0,0,0,0
text1022,NA,NA,5,5,0,0,0,0,0,0
text1023,NA,NA,26,22,0,0,0,0,0,0
text1024,NA,NA,15,15,0,0,0,0,0,0
text1025,NA,NA,4,4,0,0,0,0,0,0
text1026,NA,NA,15,15,0,0,0,0,0,0
text1027,NA,NA,4,4,0,0,0,0,0,0
text1028,NA,NA,12,12,0,0,0,0,0,0
text1029,NA,NA,6,6,0,0,0,0,0,0
text1030,NA,NA,15,15,0,0,0,0,0,0
text1031,NA,NA,62,53,0,0,0,0,0,0
text1032,NA,NA,10,9,0,0,0,0,0,0
text1033,NA,NA,10,10,0,0,0,0,0,0
text1034,NA,NA,34,30,0,0,0,0,0,0
text1035,NA,NA,9,9,0,0,0,0,0,0
text1036,NA,NA,8,8,0,0,0,0,0,0
text1037,NA,NA,11,10,0,0,0,0,0,0
text1038,NA,NA,8,7,0,0,0,0,0,0
text1039,NA,NA,10,10,0,0,0,0,0,0
text1040,NA,NA,10,10,0,0,0,0,0,0
text1041,NA,NA,8,8,0,0,0,0,0,0
text1042,NA,NA,9,9,0,0,0,0,0,0
