tema_embedding,NEGATIVO,NEUTRO,POSITIVO,REVISAR
corrupcion,0.625,0.14919354838709678,0.016129032258064516,0.20967741935483872
crisis,0.5971428571428572,0.1457142857142857,0.02857142857142857,0.22857142857142856
democracia,0.5333333333333333,0.12380952380952381,0.03492063492063492,0.30793650793650795
economia,0.5421686746987951,0.1686746987951807,0.04819277108433735,0.24096385542168675
migracion,0.572463768115942,0.15942028985507245,0.028985507246376812,0.2391304347826087
salud_social,0.625,0.125,0.03125,0.21875
seguridad,0.6721311475409836,0.14754098360655737,0.01639344262295082,0.16393442622950818
