tema_embedding,desacuerdo_bin
corrupcion,0.20967741935483872
crisis,0.22857142857142856
democracia,0.30793650793650795
economia,0.24096385542168675
migracion,0.2391304347826087
salud_social,0.21875
seguridad,0.16393442622950818
