tema_embedding,polarizacion_consenso
corrupcion,0.4598790322580645
crisis,0.45714285714285713
democracia,0.46111111111111114
economia,0.5072289156626506
migracion,0.46666666666666673
salud_social,0.4640625
seguridad,0.4262295081967213
