tema_embedding,jara,kaiser,kast,matthei
corrupcion,0.2620967741935484,0.12096774193548387,0.5241935483870968,0.09274193548387097
crisis,0.28,0.12857142857142856,0.5142857142857142,0.07714285714285714
democracia,0.35555555555555557,0.11428571428571428,0.4444444444444444,0.08571428571428572
economia,0.3132530120481928,0.12048192771084337,0.5301204819277109,0.03614457831325301
migracion,0.3115942028985507,0.15942028985507245,0.463768115942029,0.06521739130434782
salud_social,0.1875,0.1875,0.5,0.125
seguridad,0.21311475409836064,0.11475409836065574,0.6065573770491803,0.06557377049180328
