Encuesta | Encuesta,Fecha | Fecha,ME-O Ind. | Unnamed: 2_level_1,Kast PRCh | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Cadem[198],27–29 Nov 2024,31%,46%,1%,22%
Cadem[220],12–14 Jun 2024,37%,49%,1%,13%
