Encuesta | Encuesta,Fecha | Fecha,Parisi PDG | Unnamed: 2_level_1,Matthei ChV | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Cadem[75],25–27 Jun 2025,37%,39%,11%,13%
Cadem[77],7–9 May 2025,24%,48%,1%,27%
